archivo,tipo,origen,lineas,bytes,sha256
app/src/pantallas/Portada.prueba.tsx,tsx,escrito,282,12025,462a895004ff0691634e979b510efc949dcd11063d072231ec474a373d383adc
app/src/pantallas/Portada.tsx,tsx,escrito,1284,51412,c8b3fd8640934a82e56630feaec36ff7cbc65bf480a8b39e9785d5a735ef7bd6
app/src/pantallas/Quiz.prueba.tsx,tsx,escrito,170,6314,3918dd101bc293eec10473f5a8a5131148c65993398a5d1959dc2879d4105173
app/src/pantallas/Quiz.tsx,tsx,escrito,350,13118,abfb94aed74852a1458553360ceb0f0e600f367151d076c987ac98645dd7246f
app/src/pantallas/Sesion.prueba.tsx,tsx,escrito,195,9207,396c73f1e51c8c3480f01f1017ded65857596e5334752de30f33953976541b46
app/src/pantallas/Sesion.tsx,tsx,escrito,253,10855,74e5a610d4ffffb69a41b9740e4e23acfa6695a52f5148c8fcfa376ea66ce2f0
app/src/pantallas/Tarea.prueba.tsx,tsx,escrito,148,6261,bdae7fd3a06fdb5a0367dde2be5074a54c63b0f376ab6a2f28cb342f15d50e7b
app/src/pantallas/Tarea.tsx,tsx,escrito,227,9338,9b57e2b2890e1e28dd81e5be17185f1e3338cb215b25bb3ed1159c66299628ce
app/src/pantallas/Tareas.prueba.tsx,tsx,escrito,124,4813,91e3f628ae61cc077e626892cdc880ee13615dadf103fe934f55e1d4a2044507
app/src/pantallas/Tareas.sinsenal.prueba.tsx,tsx,escrito,126,4419,176b18d9cf4058f520e95a26202f9aa4c7ba28ae8bfdfa00664d90acddccb9d7
app/src/pantallas/Tareas.tsx,tsx,escrito,299,12457,0df94b1c594d7b59e2b880e4082adbb48c67396ec34b73993881c6c8aca42591
app/src/pantallas/Tutor.prueba.tsx,tsx,escrito,174,7119,b505370e10f2d0b69454f956ec2ca8763a6967a8cc972f7a0c04d8a15191f076
app/src/pantallas/Tutor.tsx,tsx,escrito,448,18574,16aa88f92ae0b3a76b7ab423d0c8a173d845b0dbb9ef6a70c54fce29a289963c
app/src/pantallas/admin/CargarCatalogo.prueba.tsx,tsx,escrito,235,9453,be223deecdf6c510fe563c9f78eb7bfce26865536efda78925d54b797c8a3b3c
app/src/pantallas/admin/CargarCatalogo.tsx,tsx,escrito,273,10619,4545e10dd3bfdae3db10fcd8a421f25d640030d88718960c9ae8149a07df7bc9
app/src/pantallas/admin/InicioAdmin.choques.prueba.tsx,tsx,escrito,88,3474,b15915cfed8c9aeb613579127dff1aa46754bd4761ed08f469cf64b9e925ceb2
app/src/pantallas/admin/InicioAdmin.tsx,tsx,escrito,449,18217,9092d201f6990fa5a27c9a84d3c617828616b3743ca5f975d87fdb7e6c193719
