paquete,licencia
commander@12.1.0,"MIT"
commander@2.20.3,"MIT"
commander@7.2.0,"MIT"
compressible@2.0.18,"MIT"
compression@1.8.1,"MIT"
concat-map@0.0.1,"MIT"
connect@3.7.0,"MIT"
content-type@2.1.0,"MIT"
convert-source-map@2.0.0,"MIT"
core-js-compat@3.50.0,"MIT"
create-jest@29.7.0,"MIT"
cross-fetch@3.2.0,"MIT"
cross-spawn@7.0.6,"MIT"
css-in-js-utils@3.1.0,"MIT"
css-select@5.2.2,"BSD-2-Clause"
css-tree@1.1.3,"MIT"
css-what@6.2.2,"BSD-2-Clause"
cssom@0.3.8,"MIT"
cssom@0.5.0,"MIT"
cssstyle@2.3.0,"MIT"
csstype@3.2.3,"MIT"
data-urls@3.0.2,"MIT"
debug@2.6.9,"MIT"
debug@3.2.7,"MIT"
debug@4.4.3,"MIT"
decimal.js@10.6.0,"MIT"
decode-uri-component@0.2.2,"MIT"
dedent@1.7.2,"MIT"
deepmerge@4.3.1,"MIT"
defaults@1.0.4,"MIT"
delayed-stream@1.0.0,"MIT"
depd@2.0.0,"MIT"
destroy@1.2.0,"MIT"
detect-libc@2.1.2,"Apache-2.0"
detect-newline@3.1.0,"MIT"
diff-sequences@29.6.3,"MIT"
dnssd-advertise@1.1.6,"MIT"
dom-serializer@2.0.0,"MIT"
domelementtype@2.3.0,"BSD-2-Clause"
domexception@4.0.0,"MIT"
domhandler@5.0.3,"BSD-2-Clause"
domutils@3.2.2,"BSD-2-Clause"
dunder-proto@1.0.1,"MIT"
ee-first@1.1.1,"MIT"
electron-to-chromium@1.5.414,"ISC"
emittery@0.13.1,"MIT"
emoji-regex@8.0.0,"MIT"
encodeurl@1.0.2,"MIT"
encodeurl@2.0.0,"MIT"
entities@4.5.0,"BSD-2-Clause"
entities@6.0.1,"BSD-2-Clause"
error-ex@1.3.4,"MIT"
error-stack-parser@2.1.4,"MIT"
es-define-property@1.0.1,"MIT"
es-errors@1.3.0,"MIT"
es-object-atoms@1.1.2,"MIT"
es-set-tostringtag@2.1.0,"MIT"
escalade@3.2.0,"MIT"
escape-html@1.0.3,"MIT"
escape-string-regexp@1.0.5,"MIT"
escape-string-regexp@2.0.0,"MIT"
escape-string-regexp@4.0.0,"MIT"
escodegen@2.1.0,"BSD-2-Clause"
esprima@4.0.1,"BSD-2-Clause"
estraverse@5.3.0,"BSD-2-Clause"
esutils@2.0.3,"BSD-2-Clause"
etag@1.8.1,"MIT"
event-target-shim@5.0.1,"MIT"
execa@5.1.1,"MIT"
exit@0.1.2,"MIT"
expect@29.7.0,"MIT"
expect@30.4.1,"MIT"
expo-application@57.0.2,"MIT"
expo-asset@57.0.14,"MIT"
expo-audio@57.0.4,"MIT"
expo-constants@57.0.16,"MIT"
expo-document-picker@57.0.1,"MIT"
expo-file-system@57.0.5,"MIT"
expo-font@57.0.1,"MIT"
expo-keep-awake@57.0.1,"MIT"
expo-linking@57.0.8,"MIT"
expo-modules-autolinking@57.0.11,"MIT"
expo-modules-core@57.0.13,"MIT"
expo-modules-jsi@57.0.5,"MIT"
